order_id,order_date,shipped_date,status,comments,order_amount,customer_id,store_id
O1219805,2022-09-03,2022-09-08,completed,,70.49,4613559,S441
O1223030,2022-02-28,2022-03-01,canceled,,89.34,2809356,S328
O1223686,2022-09-15,2022-09-20,completed,,70.26,5945778,S178
O1224684,2022-11-23,2022-11-25,completed,,115.59,6309032,S134
O1226151,2022-06-09,2022-06-14,completed,,105.92,3507364,S165
O1228221,2022-04-19,2022-04-20,completed,,93.03,9375024,S419
O1228499,2022-10-17,2022-10-19,completed,,81.49,9428686,S136
O1229066,2022-12-14,2022-12-16,abandoned,,53.8,5370461,S130
O1230348,2022-01-15,2022-01-19,abandoned,,51.74,7323548,S366
O1231170,2022-12-31,2023-01-04,completed,,135.09,4996360,S416
O1231837,2022-01-20,2022-01-21,completed,,101.17,8202216,S224
O1232135,2022-12-19,2022-12-20,completed,,63.67,3182375,S24
O1232190,2022-07-14,2022-07-15,completed,,91.08,8100132,S411
O1232647,2022-02-10,2022-02-11,completed,,72.91,3387789,S176
O1232847,2022-10-26,2022-10-28,completed,,60.62,5347352,S327
O1234866,2022-06-01,2022-06-02,abandoned,,72.38,4926677,S155
O1234954,2022-05-30,2022-06-01,completed,Holiday Promotion,75.35,8049304,S336
O1238929,2022-02-22,2022-02-24,completed,,74.86,8584309,S27
O1239124,2022-01-03,2022-01-04,completed,,81.56,4692843,S372
O1239342,2022-08-31,2022-09-02,completed,,69.04,8519029,S250
O1239793,2022-12-27,2022-12-28,completed,,200.74,2764969,S224
O1242932,2022-03-04,2022-03-09,completed,,78.87,5734395,S53
O1244608,2022-01-04,2022-01-06,completed,,59.4,4283669,S5
O1244741,2022-11-23,2022-11-25,completed,,137.34,3445082,S6
O1246900,2022-11-20,2022-11-22,completed,,102.15,3952868,S276
O1248926,2022-07-09,2022-07-11,completed,,40.82,5908891,S94
O1252443,2022-11-13,2022-11-15,completed,,63.28,8982754,S276
O1255501,2022-04-01,2022-04-05,completed,,86.58,4742701,S401
O1256520,2022-12-17,2022-12-21,completed,,86.2,8674348,S206
O1256933,2022-08-03,2022-08-04,completed,,75.02,9064738,S388
O1257453,2022-03-13,2022-03-14,completed,,87.79,2274957,S137
O1259071,2022-04-16,2022-04-18,completed,,58.89,8259287,S409
O1262887,2022-04-12,2022-04-13,completed,,33.7,6312016,S94
O1264339,2022-11-18,2022-11-23,completed,,74.93,6057697,S241
O1264905,2022-05-01,2022-05-03,completed,,67.8,4140281,S341
O1265099,2022-12-15,2022-12-20,completed,,57.84,3024219,S61
O1265702,2022-09-03,2022-09-07,completed,,75.94,3952868,S386
O1269984,2022-01-18,2022-01-19,completed,,67.68,5863492,S459
O1270321,2022-12-15,2022-12-16,completed,,83.38,4640089,S39
O1271454,2022-05-23,2022-05-24,completed,,65.64,1804499,S345
O1272144,2022-05-14,2022-05-18,completed,,79.86,7472629,S291
O1272413,2022-08-17,2022-08-19,completed,,94.97,9827217,S283
O1274005,2022-04-19,2022-04-20,completed,,69.81,1746980,S195
O1274107,2022-07-28,2022-08-02,abandoned,,78.29,1543681,S99
O1276498,2022-04-20,2022-04-22,completed,,83.17,7033472,S141
O1279614,2022-04-18,2022-04-19,completed,,71.32,4081656,S419
O1281797,2022-05-30,2022-06-01,abandoned,Holiday Promotion,76.88,5444249,S58
O1282225,2022-02-14,2022-02-15,completed,,100.93,5178590,S484
O1282999,2022-11-20,2022-11-21,completed,,49.55,6514737,S413
O1284696,2022-01-28,2022-02-01,abandoned,,67.87,2267541,S166
O1285084,2022-10-06,2022-10-07,canceled,,73.54,7068162,S400
O1285392,2022-03-15,2022-03-16,completed,,63.69,6268313,S412
O1288466,2022-09-22,2022-09-27,completed,,67.93,5447561,S273
O1291176,2022-07-17,2022-07-18,canceled,,69.61,8701111,S101
O1293184,2022-10-09,2022-10-11,completed,,80.76,2267541,S312
O1293928,2022-06-13,2022-06-14,completed,,64.55,9827217,S171
O1295216,2022-04-27,2022-04-28,completed,,161.47,4447437,S309
O1295802,2022-05-26,2022-05-27,completed,,86.94,9775257,S6
O1295877,2022-08-31,2022-09-01,completed,,62.25,6355078,S230
O1296984,2022-10-30,2022-10-31,completed,,83.32,1899035,S484
O1301467,2022-07-16,2022-07-18,completed,,87.5,8560415,S140
O1302199,2022-09-13,2022-09-15,completed,,57.02,8702361,S156
O1302681,2022-09-16,2022-09-21,completed,,88.01,4650152,S297
O1304429,2022-07-11,2022-07-12,completed,,78.27,2291315,S50
O1305446,2022-03-06,2022-03-08,completed,,77.64,2917079,S24
O1306473,2022-07-26,2022-07-27,canceled,,27.89,8538826,S251
O1307620,2022-08-27,2022-08-29,completed,,104.07,6892908,S239
O1308307,2022-10-08,2022-10-12,completed,,71.61,4447437,S407
O1308430,2022-02-15,2022-02-17,completed,,94.13,7165982,S266
O1309351,2022-02-16,2022-02-17,completed,,54.42,4131773,S116
O1309920,2022-08-25,2022-08-30,completed,,79.77,4548639,S162
O1313038,2022-12-26,2022-12-28,completed,Holiday Promotion,164.22,7443791,S231
O1315414,2022-07-13,2022-07-14,completed,,69.19,1826642,S59
O1315782,2022-02-01,2022-02-03,completed,,73.86,6883579,S101
O1318869,2022-08-24,2022-08-26,completed,,104.76,1618294,S112
O1319505,2022-09-30,2022-10-05,abandoned,,80.8,8580307,S392
O1319820,2022-02-06,2022-02-07,completed,,71.02,7132008,S54
O1320833,2022-05-24,2022-05-26,abandoned,,76.59,4493772,S123
O1322977,2022-09-11,2022-09-12,completed,,88.59,8731679,S442
O1323637,2022-02-03,2022-02-08,abandoned,,88.69,5799916,S30
O1324175,2022-12-13,2022-12-15,completed,,81.73,1441028,S365
O1324656,2022-12-27,2022-12-28,completed,,185.37,2822590,S468
O1326735,2022-06-27,2022-06-28,abandoned,,83.24,5734395,S326
O1329010,2022-02-10,2022-02-15,completed,,83.06,1877912,S83
O1330085,2022-01-03,2022-01-05,completed,,70.64,8864962,S493
O1330493,2022-01-26,2022-01-27,completed,,91.78,2968781,S30
O1330873,2022-06-05,2022-06-06,completed,,60.88,2247038,S408
O1331934,2022-11-08,2022-11-10,abandoned,,58.2,5721570,S273
O1336550,2022-07-18,2022-07-20,canceled,,59.95,1804499,S448
O1337762,2022-12-28,2022-12-29,completed,,232.45,7617620,S295
O1338503,2022-11-22,2022-11-23,completed,,128.37,1629930,S222
O1338982,2022-10-14,2022-10-19,completed,,80.7,2572443,S160
O1339424,2022-07-26,2022-07-28,completed,,190.33,1821050,S251
O1342077,2022-08-19,2022-08-23,completed,,58.8,1726743,S377
O1343505,2022-09-29,2022-09-30,abandoned,,84.84,7889842,S149
O1346769,2022-06-09,2022-06-14,completed,,77.05,9950744,S367
O1347078,2022-07-01,2022-07-06,completed,,92.76,1188078,S31
O1348546,2022-11-04,2022-11-08,completed,,50.38,4005087,S120
O1348665,2022-01-31,2022-02-02,abandoned,,55.74,9282121,S335
O1349570,2022-12-21,2022-12-22,completed,,85.24,6211485,S321
O1353378,2022-06-01,2022-06-03,completed,,97.84,1406387,S120
O1353946,2022-11-05,2022-11-07,completed,,91.2,1498466,S75
O1354429,2022-12-20,2022-12-21,completed,,81.98,1844163,S164
O1354460,2022-11-24,2022-11-29,completed,Holiday Promotion,133.82,3897193,S149
O1356524,2022-01-23,2022-01-24,completed,,93.45,1188078,S214
O1359462,2022-08-30,2022-09-01,completed,,56.54,8822701,S410
O1360716,2022-12-23,2022-12-27,completed,,149.47,8538826,S436
O1364474,2022-03-18,2022-03-22,canceled,,68.17,8746515,S400
O1366770,2022-08-19,2022-08-24,completed,,76.59,2451687,S101
O1367780,2022-12-26,2022-12-28,completed,Holiday Promotion,183.05,4301423,S450
O1369385,2022-10-13,2022-10-14,completed,,55.37,2231458,S388
O1369389,2022-01-28,2022-02-01,completed,,69.65,6678594,S179
O1369408,2022-07-17,2022-07-18,completed,,92.45,5892386,S420
O1370682,2022-01-27,2022-02-01,completed,,71.58,4318440,S83
O1373111,2022-05-22,2022-05-23,completed,,69.14,1382131,S321
O1374791,2022-04-20,2022-04-21,completed,,87.86,7891266,S52
O1375493,2022-09-14,2022-09-16,completed,,61.71,9262342,S82
O1379181,2022-09-29,2022-09-30,completed,,60.25,4932160,S396
O1379771,2022-07-28,2022-07-29,abandoned,,77.34,9428686,S483
O1380605,2022-08-11,2022-08-12,completed,,76.27,5127237,S103
O1381003,2022-06-16,2022-06-21,completed,,56.4,6436471,S210
O1382221,2022-02-16,2022-02-18,completed,,75.72,7627435,S84
O1382481,2022-01-19,2022-01-21,abandoned,,90.58,8580307,S48
O1385351,2022-06-11,2022-06-13,completed,,58.42,2231458,S402
O1385390,2022-06-01,2022-06-03,completed,,57.89,4703204,S23
O1386132,2022-03-05,2022-03-07,abandoned,,92.7,6324780,S486
O1386240,2022-08-26,2022-08-30,abandoned,,172.08,7033472,S95
O1386507,2022-05-07,2022-05-11,completed,,69.47,1479677,S407
O1387017,2022-08-10,2022-08-12,completed,,60.98,1877912,S229
O1388309,2022-10-31,2022-11-01,abandoned,,55.01,4979140,S367
O1388413,2022-10-09,2022-10-13,abandoned,,75.93,5210640,S377
O1389516,2022-07-18,2022-07-20,completed,,68.12,9469279,S126
O1390193,2022-01-05,2022-01-06,abandoned,,103.85,6436471,S5
O1390255,2022-11-22,2022-11-23,completed,,85.55,6757759,S295
O1392003,2022-05-03,2022-05-05,completed,,86.76,3272194,S317
O1393860,2022-08-03,2022-08-04,completed,,100.73,8560415,S104
O1394993,2022-05-02,2022-05-04,completed,,69.25,5935541,S472
O1396784,2022-02-18,2022-02-22,completed,,70.33,8731679,S16
O1397759,2022-11-21,2022-11-23,completed,,70.45,8519029,S474
O1397824,2022-04-15,2022-04-20,completed,,56.19,7701067,S489
O1398787,2022-02-20,2022-02-24,completed,,71.69,4081656,S161
O1398940,2022-04-17,2022-04-19,completed,,59.44,7088877,S362
O1399514,2022-03-26,2022-03-30,completed,,80.78,1844163,S428
O1400592,2022-04-20,2022-04-21,completed,,86.85,2069469,S451
O1400813,2022-12-31,2023-01-04,completed,,139.38,3356614,S1
O1401808,2022-12-12,2022-12-14,completed,,72.24,2743945,S84
O1402137,2022-11-20,2022-11-21,completed,,68.88,4447437,S294
O1404132,2022-04-27,2022-04-28,completed,,156.69,9823559,S251
O1404402,2022-10-04,2022-10-05,completed,,256.18,9242430,S171
O1404722,2022-09-14,2022-09-15,completed,,75.38,6496014,S232
O1406721,2022-07-16,2022-07-20,completed,,71.58,7977634,S79
O1409989,2022-04-20,2022-04-21,completed,,101.92,1821050,S414
O1410732,2022-03-23,2022-03-25,abandoned,,71.03,5401437,S279
O1411602,2022-08-15,2022-08-17,completed,,84.76,5062231,S458
O1411945,2022-04-16,2022-04-20,completed,,63.61,7538962,S34
O1414623,2022-11-27,2022-11-29,abandoned,,158.9,9823559,S230
O1415989,2022-03-01,2022-03-03,completed,,37.02,1821050,S363
O1416290,2022-11-07,2022-11-09,completed,,79.82,5908891,S214
O1417889,2022-12-19,2022-12-20,completed,,52.62,3458934,S180
O1420687,2022-10-21,2022-10-26,completed,,63.58,6726101,S439
O1422227,2022-06-21,2022-06-23,completed,,84.16,5945778,S27
O1424416,2022-11-02,2022-11-04,completed,,96.5,7741555,S97
O1424850,2022-09-10,2022-09-12,completed,,93.66,3286350,S179
O1431369,2022-07-25,2022-07-27,canceled,,84.91,9133132,S1
O1431818,2022-12-27,2022-12-29,completed,,199.96,6157634,S220
O1432479,2022-07-26,2022-07-28,completed,,92.68,7868671,S419
O1432812,2022-10-25,2022-10-26,completed,,88.2,7575512,S278
O1435970,2022-02-20,2022-02-22,completed,,73.23,9513072,S238
O1437167,2022-06-10,2022-06-14,completed,,73.59,9796925,S103
O1438390,2022-10-07,2022-10-11,completed,,82.05,4366058,S47
O1438892,2022-12-06,2022-12-07,completed,,74.63,6694665,S246
O1438932,2022-01-15,2022-01-19,completed,,67.67,4283669,S389
O1439576,2022-12-16,2022-12-20,completed,,93.22,1498466,S444
O1443590,2022-10-15,2022-10-19,completed,,78.44,2238688,S253
O1443735,2022-12-10,2022-12-14,completed,,86.83,4197836,S480
O1446312,2022-08-05,2022-08-09,abandoned,,80.53,4548639,S457
O1446792,2022-11-03,2022-11-04,completed,,82.17,1866542,S329
O1446814,2022-12-27,2022-12-29,canceled,,194.0,9827217,S301
O1452348,2022-10-07,2022-10-11,completed,,78.34,7050543,S168
O1452448,2022-07-26,2022-07-27,completed,,232.97,5720985,S277
O1452890,2022-04-17,2022-04-19,completed,,94.39,3546748,S464
O1452957,2022-07-11,2022-07-13,completed,,46.22,7421409,S58
O1453245,2022-09-04,2022-09-08,completed,,61.36,8400709,S479
O1453524,2022-09-30,2022-10-05,completed,,292.56,4696395,S397
O1455125,2022-11-25,2022-11-29,abandoned,,120.14,3547700,S403
O1455761,2022-07-01,2022-07-06,completed,,76.78,7340412,S261
O1456014,2022-10-15,2022-10-17,completed,,66.76,2877858,S372
O1456023,2022-12-27,2022-12-28,completed,,190.12,2154105,S28
O1457817,2022-03-29,2022-03-30,completed,,85.77,7575512,S63
O1458329,2022-02-12,2022-02-16,completed,,71.07,1441028,S194
O1459192,2022-03-06,2022-03-07,completed,,67.71,6094567,S288
O1461407,2022-07-30,2022-08-01,completed,,69.78,3938287,S480
O1461605,2022-12-21,2022-12-23,completed,,103.63,5713973,S134
O1462123,2022-11-20,2022-11-21,completed,,99.2,1997753,S7
O1462137,2022-02-27,2022-02-28,canceled,,104.46,4516995,S46
O1462618,2022-02-10,2022-02-11,completed,,67.66,2764969,S23
O1465884,2022-04-21,2022-04-26,completed,,85.27,5152468,S78
O1468767,2022-09-16,2022-09-20,completed,,95.61,1651157,S241
O1469208,2022-10-12,2022-10-14,completed,,85.07,6496014,S392
O1470627,2022-01-01,2022-01-05,completed,Holiday Promotion,255.85,5969307,S348
O1470806,2022-11-04,2022-11-08,completed,,40.19,8498259,S415
O1476807,2022-07-06,2022-07-07,completed,,76.62,3718435,S376
O1478639,2022-02-25,2022-03-01,completed,,55.89,3445082,S217
O1479243,2022-11-04,2022-11-09,completed,,99.22,8204342,S174
O1479636,2022-08-01,2022-08-02,completed,,189.03,6538314,S177
O1481542,2022-06-18,2022-06-23,completed,,70.69,3809926,S214
O1482089,2022-02-05,2022-02-09,completed,,49.01,6802192,S112
O1483166,2022-07-09,2022-07-11,completed,,76.73,7816785,S234
O1485747,2022-04-16,2022-04-20,completed,,74.13,3356614,S261
O1485822,2022-04-05,2022-04-07,completed,,73.4,2069469,S281
O1489828,2022-06-26,2022-06-28,abandoned,,71.71,9282121,S483
O1492232,2022-12-12,2022-12-13,completed,,60.33,2865219,S258
O1492888,2022-07-17,2022-07-18,completed,,97.08,4649889,S490
O1493237,2022-10-11,2022-10-12,completed,,85.97,8683151,S421
O1494140,2022-11-22,2022-11-27,completed,,120.94,4291546,S463
O1494156,2022-12-13,2022-12-15,canceled,,85.61,3508022,S440
O1496660,2022-11-05,2022-11-07,completed,,66.83,7891266,S86
O1497861,2022-11-29,2022-12-01,completed,,205.08,4664454,S198
O1498424,2022-02-25,2022-03-02,completed,,61.77,8731679,S459
O1500237,2022-11-12,2022-11-16,completed,,84.2,1847560,S204
O1500603,2022-05-15,2022-05-16,completed,,62.05,7081833,S498
O1501105,2022-07-15,2022-07-20,completed,,73.64,9827217,S175
O1501915,2022-06-09,2022-06-10,completed,,60.91,8982754,S439
O1501915,2022-11-13,2022-11-14,completed,,65.16,9877349,S274
O1503804,2022-05-17,2022-05-18,completed,,70.37,5067507,S84
O1504075,2022-01-24,2022-01-25,completed,,72.07,1847560,S488
O1506020,2022-12-18,2022-12-20,completed,,79.21,3996829,S445
